spam	This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.
ham	NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham	hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
ham	LOL that would be awesome payback.
ham	Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
ham	Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
ham	Aight, you close by or still down around alex's place?
ham	Ok no prob. Take ur time.
ham	Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
spam	(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham	Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!
ham	Try neva mate!!
ham	Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..
ham	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham	U sick still can go shopping?
ham	Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.
ham	Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.
ham	Babe, I need your advice
ham	Hi elaine, is today's meeting confirmed?
spam	Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
ham	Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
ham	How are you holding up?
spam	TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468
ham	Love it! The girls at the office may wonder why you are smiling but sore...
ham	Am also doing in cbe only. But have to pay.
spam	Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer
spam	We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
ham	Yar else i'll thk of all sorts of funny things.
ham	Missing you too.pray inshah allah
ham	A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die
ham	What happen dear tell me
ham	Unless it's a situation where YOU GO GURL would be more appropriate
ham	Ok., is any problem to u frm him? Wats matter?
ham	Are u coming to the funeral home
spam	REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode
ham	Ü go home liao? Ask dad to pick me up at 6...
ham	U need my presnts always bcz U cant mis love. "jeevithathile irulinae neekunna prakasamanu sneham" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....
spam	URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
ham	Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.
ham	Bugis oso near wat... 
ham	Oooh bed ridden ey? What are YOU thinking of?
ham	Ok can...
ham	Check audrey's status right now
ham	Ard 515 like dat. Y?
ham	I asked you to call him now ok
ham	Taka lor. Wat time u wan 2 come n look 4 us?
ham	Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  
ham	Dont worry. I guess he's busy.
ham	Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?
ham	Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham	Awesome, I'll see you in a bit
ham	U still going to the mall?
ham	Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?
ham	Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham	Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
ham	Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.
ham	Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
ham	Check wid corect speling i.e. Sarcasm
spam	FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
spam	Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
ham	What's a feathery bowa? Is that something guys have that I don't know about?
ham	Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
ham	Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!
ham	Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
ham	I'm good. Have you registered to vote?
ham	Have you laid your airtel line to rest?
ham	Booked ticket for pongal?
ham	R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
spam	Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR
spam	our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.
ham	I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
ham	Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
spam	Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
spam	You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+
spam	Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
ham	Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. 
ham	We are hoping to get away by 7, from Langport. You still up for town tonight?
ham	Lol ... I knew that .... I saw him in the dollar store
ham	Does uncle timi help in clearing cars
spam	URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm
ham	Sounds good, keep me posted
spam	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate 
ham	"SYMPTOMS" when U are in love: "1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your
ham	We have pizza if u want
ham	Cool, text me when you're parked
ham	I think steyn surely get one wicket:)
ham	There is no sense in my foot and penis.
ham	I am going to sao mu today. Will be done only at 12 
ham	I'm not driving... Raining! Then i'll get caught at e mrt station lor.
ham	Or ill be a little closer like at the bus stop on the same street
spam	Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz
ham	I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
ham	Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
ham	Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous
ham	Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits
ham	Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho
